,Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Type,Display Width,Display Height,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
11,samsung,430.5,other,No specifications,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,intel core i5 12th generation,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,13.3,5.98
12,acer,70.0,silver,Bluetooth,Undefined,Undefined,undefined,intel,intel celeron n,1.1,notebook/laptop,1366.0,768.0,chrome,emmc,98.89,32.0,11.6,4.0
15,dell,170.0,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","this dell computer was used before and will show normal signs of use and handling, everything is guaranteed to work as it should",other,intel core i5 7th generation,1.1861742242409754,notebook/laptop,1920.0,1080.0,windows,ssd,128.0,128.0,2.0,8.0
16,dell,218.0,black,"Backlit Keyboard, Bluetooth, Built-in Webcam, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good working used condition - wear marks from use - if necessary we have installed a new palmrest skin. ac adapter (power cord) included.,intel,intel core i5 8th generation,1.6,notebook/laptop,1920.0,1080.0,unknown,ssd,98.89,512.0,15.6,16.0
17,dell,130.0,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","tested and guaranteed by certified dell laptop technicians. this laptop was used before and will show normal signs of use and handling with nothing major, the screen is not cracked and the computer is intact, the pc laptop is fully tested and working normally. a brand new copy of windows 10 pro is installed and active. ready for use out of the box with an authentic charger",intel,intel celeron,1.1,notebook/laptop,1366.0,768.0,windows,ssd,128.0,128.0,11.0,4.0
18,acer,40.0,gray,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","acer chromebook c731 in certified excellent, used condition.displays light to normal signs of wear; no cracks, deep scuffs, or dents.features 4gb ram, 16gb ssd, hdmi, wi-fi connectivity, and a built-in webcam.ideal for students, professionals, or casual browsing.",intel,intel celeron n,1.6,notebook/laptop,1366.0,768.0,chrome,ssd,16.0,16.0,11.6,4.0
19,dell,393.0,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.2,notebook/laptop,1920.0,1080.0,windows,ssd,2000.0,205.95,14.0,5.98
20,dell,625.0,other,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.",undefined,other,intel core i7 13th generation,4.4,other,2560.0,1600.0,windows,ssd,1000.0,1000.0,16.0,32.0
21,dell,315.0,silver,No specifications,Undefined,Undefined,undefined,amd,amd ryzen 5,2.3,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,512.0,14.0,16.0
22,dell,200.0,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","this dell computer was used before and will show normal signs of use and handling, everything is guaranteed to work as it should",intel,intel core i5 6th generation,2.6,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,12.5,8.0
24,hp,300.0,silver,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,i5-8365u,1.6,notebook/laptop,3000.0,2000.0,unknown,ssd,98.89,512.0,13.0,16.0
25,microsoft,60.0,gray,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",the device is in good working & and cosmetic condition.,other,intel core i5 4th generation,1.9,notebook/laptop,2160.0,1440.0,windows,ssd,128.0,128.0,12.0,4.0
26,lenovo,45.0,black,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Rugged, Built-in Microphone",Undefined,Undefined,undefined,intel,intel celeron n,1.1,notebook/laptop,1366.0,768.0,chrome,emmc,98.89,16.0,11.6,0.0
27,hp,439.0,silver,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, USB 3.2, Ethernet, Media card reader, USB-C",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i5-1135g7,4.2,notebook/laptop,1920.0,1080.0,windows,ssd,2000.0,2000.0,15.6,32.0
29,dell,345.0,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","the item shows minimal wear and is backed by a one year warranty. it is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. the item includes original or new accessories and will come in new generic packaging. see the seller's listing for full details.",intel,intel core i5 7th generation,3.1,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,512.0,15.6,16.0
31,hp,420.0,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.2,notebook/laptop,1920.0,1080.0,windows,ssd,2000.0,205.95,14.0,5.98
32,lenovo,73.0,black,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Force Touch Trackpad, Multi-Touch Trackpad, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",fully tested working. windows 10 home installed and activated. complete and ready to use.,other,intel celeron n3160,1.6,notebook/laptop,1366.0,768.0,windows,ssd,98.89,128.0,11.6,5.98
33,hp,209.0,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","tested working. the unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). see pictures for details. include ac adapter. as the battery is used, battery life is not guaranteed.",intel,i5-7200u,2.5,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,512.0,15.6,16.0
35,lenovo,799.0,gray,"Bluetooth, Wi-Fi",Undefined,Undefined,undefined,nvidia,intel core i7 12th generation,3.5,notebook/laptop,2560.0,1600.0,windows,ssd,98.89,512.0,16.0,16.0
36,lenovo,100.0,brown,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","lenovo thinkpad t440 in used but well-maintained condition.pristine condition screen and keyboard.normal wear on exterior without deep scuffs, cracks, or dents.reliable performance with a 14"" touchscreen display.",intel,intel core i5-4300u,1.9,notebook/laptop,779.2421706908917,447.94931867081044,unknown,ssd,256.0,256.0,14.0,8.0
37,dell,219.0,black,"Backlit Keyboard, Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,i7-7820hq,3.9,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,512.0,15.61,16.0
38,dell,152.5,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi,  Anti-glare HD LED Display,  WLED Backlight",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","an item that has been used previously. the item may have some signs of cosmetic wear, but is fully operational and functions as intended. this item may be a floor model or store return that has been used. see the seller’s listing for full details and description of any imperfections.",intel,intel core i5-4200u,1.6,notebook/laptop,1366.0,768.0,windows,ssd,98.89,256.0,14.0,8.0
40,lenovo,130.0,black,"Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",comprenew grade b: full functionality | all functions perform as intended,other,intel core i5-8250u,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,256.0,14.0,16.0
41,dell,489.0,black,"Bluetooth, Wi-Fi, MaxxAudio Pro, Media Card Reader, Wi-Fi 5, USB-C 3.2",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,amd,amd ryzen 5,4.5,notebook/laptop,1920.0,1080.0,windows,ssd,512.0,512.0,15.6,16.0
42,dell,120.0,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged,  Stylus,  Touchscreen,  Wi-Fi,  Wifi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i5 6th generation,2.4,notebook/laptop,1920.0,1080.0,unknown,ssd,8.0,205.95,14.0,8.0
43,lg,550.0,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i7 13th gen,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,windows,unknown,98.89,512.0,17.3,16.0
44,hp,29.98,multicolor,Wi-Fi,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel celeron,2.16,notebook/laptop,1366.0,768.0,chrome,ssd,16.0,16.0,14.0,16.0
45,hp,145.0,black,"Bluetooth,  Built-in Webcam,  Optical Drive,  Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","tested working. the unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). see pictures for details. include ac adapter. as the battery is used, battery life is not guaranteed.",intel,intel core i3 6th generation,2.3,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,512.0,15.6,8.0
46,dell,160.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","certified in excellent working condition by our expert technicians. fully functional, normal signs of wear, rigorously tested, and cleaned.",other,intel i5,2.3,other,779.2421706908917,447.94931867081044,windows,ssd,256.0,256.0,15.6,8.0
47,hp,85.0,multicolor,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Built-in Microphone",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",1-year allstate warranty. the original hp charger is included.,intel,intel celeron,1.1861742242409754,notebook/laptop,1366.0,768.0,chrome,emmc,16.0,16.0,11.6,4.0
48,microsoft,69.6,other,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.","surface pro 4. 8gb 256gb version screen glass is cracked. touch function is still working. all other parts are working fine. battery holds charge and tested for 1 hour.(it could run more) mainboard, ssd, cameras - front/rear, wifi, etc. working excellent. no charger, keyboard included. charger and keyboard can be included for £20/£20 extra on topitem shipped from the uk",other,intel core i5,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,unknown,ssd,256.0,256.0,12.5,256.0
49,hp,70.0,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Widescreen Display",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","mint condition, like new! hp chromebook 11 g5 in stellar condition. our certified technicians have meticulously inspected this unit to guarantee 100% functionality. exhibits minimal signs of handling, with a flawless screen and keyboard. prepped with a factory reset, this chromebook is primed to delight right from the package.",intel,intel celeron n,1.6,other,1366.0,768.0,chrome,emmc,16.0,16.0,11.6,4.0
50,hp,49.0,gray,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,amd a4 dual-core,1.6,notebook/laptop,1366.0,768.0,chrome,emmc,16.0,16.0,11.6,4.0
51,dell,130.0,black,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i7 6th generation,2.6,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,12.5,8.0
52,lenovo,135.0,other,No specifications,For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.",undefined,other,not applicable,1.1861742242409754,other,779.2421706908917,447.94931867081044,unknown,unknown,98.89,205.95,14.0,5.98
53,lenovo,81.0,black,"Touchscreen, Bluetooth, Built-in Microphone, Built-in Webcam",Undefined,Undefined,undefined,other,intel core i5 2nd generation,2.5,notebook/laptop,1366.0,768.0,windows,hdd/ssd,320.0,120.0,12.5,4.0
54,microsoft,103.75,silver,"Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard, Bluetooth, Touchscreen, Wi-Fi, Convertible 2-in-1 Laptop/Tablet, Built-in Webcam, Force Touch Trackpad",Undefined,Undefined,undefined,other,nvidia tegra 3,2.6,other,3000.0,2000.0,unknown,ssd,512.0,205.95,13.5,1.0
55,dell,200.0,black,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","tested/working. windows 10, power adapter included. the laptop has frame damage on the backside.",nvidia,i5-7300hq,2.5,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,256.0,15.6,8.0
56,dell,288.0,other,"Touchscreen, Widescreen Display, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",the laptop is overall in good working condition. internal components are fully verified and certified by our dell laptop technicians!,intel,core i7,2.8,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,512.0,12.5,5.98
57,dell,105.0,black,"10/100 LAN Card,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good used condition. some minor scratches and scuffs from normal wear and tear.,other,intel core i5 6th generation,2.6,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,14.0,8.0
58,dell,39.94,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","used in good working condition. may have some scratches, scuffs, and general signs of use.",other,intel celeron,1.6,notebook/laptop,1366.0,768.0,chrome,emmc,16.0,16.0,13.3,4.0
59,lenovo,90.0,black,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i3-6100u,2.3,other,1366.0,768.0,windows,ssd,128.0,128.0,11.6,8.0
60,lenovo,599.0,grey,"5G,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  Dual Speakers",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i5-1135g7,4.2,notebook/laptop,1920.0,1080.0,windows,ssd,1000.0,1000.0,15.6,20.0
62,dell,170.0,other,No specifications,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested great condition one year warranty,other,intel core i5 6th generation,2.4,notebook/laptop,779.2421706908917,447.94931867081044,unknown,ssd,500.0,500.0,14.0,16.0
63,dell,239.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i7 6th generation,2.7,notebook/laptop,779.2421706908917,447.94931867081044,windows,ssd,98.89,512.0,15.6,16.0
64,dell,169.0,silver,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","item is seller refurbished, fully tested. not responsible for technical support! machines may show signs of heavy office use, wear scratches across case, rubber screw covers or bumpers may be missing or damaged. cosmetic damage in no way affects the way these machines run.",intel,intel core i7 8th generation,1.8,notebook/laptop,1920.0,1080.0,windows,unknown,98.89,256.0,13.3,8.0
65,hp,290.0,silver,Wi-Fi,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,intel,intel core i5 8th generation,2.6,notebook/laptop,1920.0,1080.0,windows,ssd,500.0,500.0,14.0,32.0
66,dell,90.0,black,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","for parts or repair only. has scratches and dings, and cosmetic blemishes, primarily from adhesive residue from removal of previous owner's stickers.",other,intel core i7,1.1861742242409754,notebook/laptop,779.2421706908917,447.94931867081044,unknown,other,98.89,205.95,14.0,8.0
67,lenovo,105.0,other,No specifications,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","preowned condition, good working condition",other,intel core i5-3320m,2.6,notebook/laptop,779.2421706908917,447.94931867081044,unknown,unknown,180.0,205.95,12.5,8.0
68,microsoft,409.0,silver,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.",wi-fi only. grade a+ in excellent condition. fully tested. 1 year warranty.,intel,intel core i5 11th generation,2.4,notebook/laptop,2736.0,1824.0,windows,ssd,98.89,256.0,12.3,8.0
69,dell,200.0,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",great used shape has scratches scuffs and normal wear from use,intel,intel core i5 6th generation,2.4,notebook/laptop,1920.0,1080.0,windows,ssd,256.0,256.0,14.0,8.0
70,lenovo,55.0,gray,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Undefined,Undefined,undefined,mali,mediatek mt8183,2.0,other,1920.0,1200.0,chrome,emmc,98.89,32.0,10.1,5.98
72,hp,659.0,blue,Backlit Keyboard,Undefined,Undefined,undefined,nvidia,intel core i5 13th generation,2.1,notebook/laptop,1920.0,1080.0,windows,ssd,98.89,512.0,15.6,8.0
73,dell,229.0,gray,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good working 10th gen laptop - really nice cosmetic condition - wear marks from normal use. ac adapter (power cord) is included!,intel,intel core i5 10th generation,1.7,notebook/laptop,1920.0,1080.0,unknown,ssd,512.0,512.0,14.0,16.0
